search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
graphic novel,/works/OL510405W,Ringworld,Larry Niven,1970.0,,"spa, fre, ger, eng",,,8999878.0
graphic novel,/works/OL66554W,Pride and Prejudice,Jane Austen,1813.0,,"hun, swe, rus, ita, cze",,,14348537.0
graphic novel,/works/OL468431W,The Great Gatsby,F. Scott Fitzgerald,1920.0,,"ind, fre, ita, kor, eng",,,10590366.0
graphic novel,/works/OL1168007W,Animal Farm,George Orwell,1945.0,,"hun, swe, rus, ita, fre",,,11261770.0
graphic novel,/works/OL52267W,The Time Machine,H. G. Wells,1895.0,,"tam, eng, ger, epo, chi",,,9009316.0
graphic novel,/works/OL20844W,The Red Badge of Courage,Stephen Crane,1855.0,,"eng, kor, spa, rus, chi",,,8236915.0
graphic novel,/works/OL2775807W,Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles",1912.0,,"eng, jpn, tur, pol, rus",,,902113.0
graphic novel,/works/OL66562W,Sense and Sensibility,Jane Austen,1811.0,,"hun, heb, chi, rus, kor",,,9278292.0
graphic novel,/works/OL19717199W,Scorpia,"Anthony Horowitz, Antony Johnston",2015.0,,eng,,,10546963.0
graphic novel,/works/OL24034W,Treasure Island,Robert Louis Stevenson,1880.0,,"rus, ita, sco, fre, eng",,,13859660.0
graphic novel,/works/OL1099513W,Voyage au Centre de la Terre,Jules Verne,1867.0,,"fre, chi, mac, cze, por",,,5890987.0
graphic novel,/works/OL262438W,The Sign of Four,Arthur Conan Doyle,1889.0,,"fin, spa, eng, mul, srp",,,9247987.0
graphic novel,/works/OL20456365W,The last Olympian,"Robert Venditti, Orpheus Collar, Rick Riordan",2019.0,,eng,,,9121923.0
graphic novel,/works/OL267171W,War and Peace,Лев Толстой,1864.0,,"hun, und, chi, tur, rus",,,12621906.0
graphic novel,/works/OL21629205W,Mortal Instruments,"Cassandra Clare, Cassandra Jean",2017.0,,eng,,,10514662.0
graphic novel,/works/OL34276643W,The Mark of Athena Graphic Novel,Robert Venditti,2023.0,,eng,,,13298787.0
graphic novel,/works/OL381550W,The Island of Dr. Moreau,H. G. Wells,1896.0,,"und, chi, ger, ita, fre",,,968312.0
graphic novel,/works/OL28062403W,Five Nights at Freddy's,"Scott Cawthon, Andrea Waggener, Carly Anne West, Christopher Hastings, Didi Esmeralda",2023.0,,eng,,,13297330.0
graphic novel,/works/OL81773W,Dinosaurs Before Dark,Mary Pope Osborne,1992.0,,"eng, ara, pol, ger, spa",,,14390457.0
graphic novel,/works/OL29983W,Little Women,Louisa May Alcott,1848.0,,"gle, urd, und, chi, rus",,,8775559.0
graphic novel,/works/OL166894W,Преступление и наказание,Фёдор Михайлович Достоевский,1866.0,,"rus, cze, ita, fre, eng",,,9411873.0
graphic novel,/works/OL455305W,The Scarlet Letter,Nathaniel Hawthorne,1800.0,,"rus, ita, afr, cze, bul",,,5654516.0
graphic novel,/works/OL1095427W,Jane Eyre,Charlotte Brontë,1847.0,,"sot, eng, cor, ita, und",,,8235363.0
graphic novel,/works/OL27482W,The Hobbit,J.R.R. Tolkien,1937.0,,"swe, rus, ita, cze, bul",,,14627509.0
graphic novel,/works/OL8193416W,The Picture of Dorian Gray,Oscar Wilde,1890.0,,"ita, dut, arm, fre, fin",,,14314858.0
graphic novel,/works/OL30053233W,Create Your Own Graphic Novel - Deluxe Edition,Graphic Novel Designs,2019.0,,eng,,,13181036.0
graphic novel,/works/OL114967W,The Jungle,Upton Sinclair,1707.0,,"dan, ita, eng, swe, lit",,,8231790.0
graphic novel,/works/OL77746W,Anne of Green Gables,Lucy Maud Montgomery,1908.0,,"fre, spa, kor, jpn, dut",,,14641084.0
graphic novel,/works/OL450063W,Frankenstein or The Modern Prometheus,Mary Shelley,1818.0,,"chi, rus, ita, dut, fre",,,12356249.0
graphic novel,/works/OL27294003W,Bunnicula The Graphic Novel,"James Howe, Andrew Donkin, Stephen Gilpin",2022.0,,eng,,,12879037.0
graphic novel,/works/OL77958W,The Last of the Mohicans,James Fenimore Cooper,1826.0,,"eng, ita, dan, fre, pol",,,8236937.0
graphic novel,/works/OL318900W,The Prophet,"Kahlil Gibran, R. Black",1900.0,,"heb, chi, kor, tur, arm",,,418324.0
graphic novel,/works/OL471932W,The Murder of Roger Ackroyd,Agatha Christie,1926.0,,"dut, eng, epo, ita, hrv",,,13151356.0
graphic novel,/works/OL462007W,Peter Pan,J. M. Barrie,1911.0,,"und, chi, gsw, ita, spa",,,8237052.0
graphic novel,/works/OL38663W,Heart of Darkness,Joseph Conrad,1899.0,,"spa, tur, eng, mul, chi",,,12307847.0
graphic novel,/works/OL8721462W,Great Expectations,Charles Dickens,1861.0,,"amh, srp, und, hun, heb",,,13322313.0
graphic novel,/works/OL8193465W,A Tale of Two Cities,Charles Dickens,1800.0,,"swe, rus, ita, fre, eng",,,13301713.0
graphic novel,/works/OL30053009W,Du côté de chez Swann,Marcel Proust,1908.0,,"eng, ger, hun, por, ita",,,11967344.0
graphic novel,/works/OL52114W,The War of the Worlds,H. G. Wells,0.0,,"eng, ger, dan, chi, ita",,,36314.0
graphic novel,/works/OL14942956W,The Call of the Wild,Jack London,1903.0,,"gle, alb, swe, heb, chi",,,12393037.0
graphic novel,/works/OL472073W,Murder on the Links,Agatha Christie,1923.0,,"chi, ita, spa, pol, por",,,14582832.0
graphic novel,/works/OL262454W,The Hound of the Baskervilles,Arthur Conan Doyle,1900.0,,"ita, cze, fre, eng, fin",,,8063264.0
graphic novel,/works/OL44927W,Tess of the d'Urbervilles,Thomas Hardy,1707.0,,"und, swe, rus, chi, cze",,,13109386.0
graphic novel,/works/OL262496W,A Study in Scarlet,Arthur Conan Doyle,1887.0,,"fin, eng, ger, chi, por",,,13405534.0
graphic novel,/works/OL362699W,The Tempest,William Shakespeare,1611.0,,"swe, enm, ita, fre, eng",,,8155661.0
graphic novel,/works/OL98501W,Ethan Frome,Edith Wharton,1910.0,,"spa, kor, eng, chi, ita",,,8303480.0
graphic novel,/works/OL258902W,Macbeth,William Shakespeare,1508.0,,"swe, geo, enm, rus, arm",,,872432.0
graphic novel,/works/OL5738586W,Rapunzel's Revenge,"Shannon Hale, Nathan Hale, Dean Hale",2008.0,,eng,,,7093418.0
graphic novel,/works/OL1140109W,The Good Earth,Pearl S. Buck,1931.0,,"mar, und, chi, kor, ita",,,2626823.0
graphic novel,/works/OL14869167W,The Old Curiosity Shop,Charles Dickens,1800.0,,"heb, chi, ger, ita, spa",,,13119794.0
graphic novel,/works/OL102749W,Moby Dick,Herman Melville,1851.0,,"swe, rus, ita, fre, eng",,,10544254.0
graphic novel,/works/OL2021953W,Robin Hood,Howard Pyle,1883.0,,"tur, spa, fre, eng, rum",,,5913135.0
graphic novel,/works/OL8127201W,The King in Yellow,Robert W. Chambers,1895.0,,"ger, eng, spa",,,4752788.0
graphic novel,/works/OL27776452W,The Importance of Being Earnest,Oscar Wilde,1893.0,,"eng, spa, fre, ger",,,1260453.0
graphic novel,/works/OL8193478W,Oliver Twist,Charles Dickens,1822.0,,"rus, ita, fre, eng, hrv",,,13300802.0
graphic novel,/works/OL24156W,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1875.0,,"fre, jpn, chi, yid, rus",,,295773.0
graphic novel,/works/OL362702W,Julius Caesar,William Shakespeare,1656.0,,"rus, aka, ita, afr, mlt",,,7901303.0
graphic novel,/works/OL259010W,A Midsummer Night's Dream,William Shakespeare,1600.0,,"fin, dan, chi, und, rus",,,7205924.0
graphic novel,/works/OL244537W,The Art of War,"孙武, Stephen F. Kaufman, Lionel Giles, Onésimo Colavidas",1900.0,,"chi, eng, cmn, ger, hin",,,4849549.0
graphic novel,/works/OL53919W,The Adventures of Tom Sawyer,Mark Twain,1817.0,,"chi, eng, ger, jpn, cze",,,12043351.0
graphic novel,/works/OL32466W,A Christmas Carol,"Charles Dickens, Groth, Nancy Baker",1843.0,,"fin, glg, chi, und, rus",,,12875748.0
graphic novel,/works/OL18396W,The Marvelous Land of Oz,L. Frank Baum,1904.0,,"heb, alb, eng, rus, ara",,,12648656.0
